Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
who was tammy from basketball wives married to,320,37,0.00,0.00,0,Informational,"Carousel, Knowledge panel, People also ask, Site links, Video","0.10,0.02,0.07,0.12,1.00,0.67,0.44,0.44,0.36,0.29,0.44,0.44"
what happened to basketball wives,260,48,0.00,0.00,19900000,Informational,"Featured snippet, People also ask, Reviews, Twitter, Video carousel, Video","0.45,0.13,0.08,0.08,0.04,0.03,0.05,0.03,0.05,0.04,0.05,0.04"
what time is basketball wives on,260,29,0.00,0.00,17600000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.02,0.03,0.72,0.03,0.39,0.00,0.72,1.00,0.00,0.01,0.01,0.01"
is basketball wives cancelled,170,43,0.00,0.00,1270000,Informational,"Featured snippet, People also ask, Reviews, Video","0.35,0.22,0.22,0.22,0.22,0.35,0.29,0.22,0.35,0.14,0.29,0.08"
did basketball wives get cancelled,140,40,0.00,0.00,81,Informational,"Featured snippet, Image pack, People also ask, Reviews, Video","1.00,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.02"
when does basketball wives come on,140,26,0.00,0.01,14000000,Informational,"People also ask, Reviews, Site links, Video carousel","0.10,0.05,0.03,0.03,0.03,0.06,0.02,0.02,0.03,0.01,0.00,0.06"
when will basketball wives return,140,30,0.00,0.00,6570000,Informational,"Featured snippet, Image pack, People also ask, Reviews, Twitter, Video","0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01"
how can i watch basketball wives for free,110,28,0.00,0.14,93,Informational,"People also ask, Reviews, Site links, Video","0.03,0.03,0.03,0.03,0.00,0.03,0.03,1.00,0.03,0.03,0.02,0.02"
is basketball wives coming back in 2022,110,30,0.00,0.00,12900000,Informational,"Featured snippet, People also ask, Reviews, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.35,1.00,0.35,0.22,0.22"
what happened to basketball wives season 9,110,34,0.00,0.01,75,Informational,"Image pack, People also ask, Reviews, Video carousel","1.00,0.10,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02"
is basketball wives coming back,90,38,0.00,0.00,14700000,Informational,"Featured snippet, People also ask, Reviews, Video","0.23,0.23,0.41,0.41,0.29,0.29,0.41,0.17,0.64,0.64,1.00,0.82"
is basketball wives over,90,42,0.00,0.00,15800000,Informational,"Featured snippet, People also ask, Reviews, Video","0.09,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.02"
when does basketball wives come back on,90,27,0.00,0.00,11500000,Informational,"Featured snippet, People also ask, Reviews, Twitter","0.15,0.09,0.09,0.06,0.05,0.09,0.06,0.05,0.06,0.06,0.12,0.15"
where can i watch basketball wives,90,38,1.63,0.39,99,Informational,"Featured snippet, People also ask, Reviews, Site links, Video carousel, Video","0.28,0.28,0.28,0.23,0.23,0.17,0.17,0.17,0.28,0.23,0.23,0.35"
how old is duffy from basketball wives,70,15,0.00,0.00,613000,Informational,"People also ask, Site links","0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
is basketball wives coming back in 2021,70,37,0.00,0.00,10900000,Informational,"Featured snippet, People also ask, Reviews, Video","0.12,0.10,0.17,0.17,0.28,0.35,0.12,0.05,0.05,0.02,0.05,0.05"
what channel does basketball wives come on,70,31,0.00,0.03,26100000,Informational,"Instant answer, Knowledge panel, People also ask, Reviews, Site links, Twitter","0.09,0.07,0.05,0.04,0.04,0.03,0.02,0.02,0.03,0.03,0.02,0.02"
what day does basketball wives come on,70,21,0.00,0.00,19400000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video carousel","0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.00,0.01,0.01"
what happen to basketball wives,70,39,0.00,0.00,19000000,Informational,"People also ask, Reviews, Video","0.35,0.14,1.00,0.78,0.50,0.35,0.50,0.35,0.64,0.50,0.64,0.35"
what time do basketball wives come on,70,27,0.00,0.00,23500000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.20,0.01,0.01,0.01"
where to watch basketball wives,70,35,2.22,0.25,98,Informational,"Featured snippet, People also ask, Reviews, Site links, Video carousel, Video","0.15,0.15,0.21,0.21,0.15,0.09,0.12,0.21,0.28,0.15,0.12,0.34"
who did saniyah from basketball wives date,70,17,0.00,0.00,38,Informational,"Featured snippet, Image pack, Video","1.00,0.14,0.14,0.33,0.14,0.14,0.14,0.14,0.14,0.14,0.09,0.09"
who is kristen scott basketball wives,70,34,0.00,0.00,89,Informational,"Featured snippet, Knowledge panel, People also ask, Reviews","0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
who is malaysia husband from basketball wives,70,32,0.00,0.00,724000,Informational,"Image pack, Instant answer, Knowledge panel, People also ask, Video","0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
did they cancel basketball wives,50,39,0.00,0.00,21800000,Informational,"Featured snippet, People also ask, Reviews, Video","1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.07,0.07"
has basketball wives been cancelled,50,38,0.00,0.00,15900000,Informational,"Featured snippet, People also ask, Reviews, Video","0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.06,0.06"
how many episodes of basketball wives season 9,50,32,0.00,0.00,72,Informational,"Instant answer, Knowledge panel, People also ask, Reviews, Site links, Video carousel, Video","0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.06,0.06"
how much do the basketball wives make,50,46,0.00,0.00,14600000,Informational,"Featured snippet, People also ask, Reviews, Video","0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01"
how much is jennifer from basketball wives worth,50,39,0.00,0.00,45800000,Informational,"Featured snippet, People also ask, Video","0.52,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.11,0.11"
how tall is jackie from basketball wives,50,14,0.00,0.00,99,Informational,"Image pack, People also ask, Reviews, Video","1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.07,0.07"
how tall is jennifer williams basketball wives,50,19,0.00,0.00,55,Informational,"Instant answer, Knowledge panel, People also ask","1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.07,0.07"
how to watch basketball wives,50,35,1.65,0.21,86,Informational,"Featured snippet, People also ask, Reviews, Site links, Video carousel, Video","0.66,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.05,0.05"
is basketball wives on hulu,50,32,0.00,0.00,793000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.05,0.05"
is tammy from basketball wives sick,50,40,0.00,0.00,94,Informational,People also ask,"0.00,0.00,0.00,0.00,1.00,0.53,0.09,0.09,0.09,0.06,0.34"
was bambi on basketball wives,50,21,0.00,0.00,86,Informational,"Featured snippet, People also ask, Reviews","1.00,0.11,0.11,0.11,0.15,0.11,0.11,0.11,0.11,0.11,0.07,0.07"
what is the latest episode of basketball wives,50,25,0.00,0.21,5760000,Informational,"Knowledge panel, People also ask, Reviews, Site links, Twitter, Video carousel","0.06,0.09,0.00,0.09,0.00,0.09,0.09,0.09,0.09,0.09,0.06,0.06"
what time does basketball wives come on,50,25,0.00,0.00,25500000,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter, Video","0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.01"
what's wrong with tami on basketball wives,50,43,0.00,0.00,95,Informational,"Featured snippet, Image pack, People also ask, Reviews, Video","1.00,0.03,0.00,0.00,0.00,0.00,0.00"
when did basketball wives start,50,42,0.00,0.00,18100000,Informational,"Featured snippet, Knowledge panel, People also ask, Reviews, Twitter, Video","0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01"
when do basketball wives come on,50,25,0.00,0.01,16500000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video carousel, Video","0.10,0.06,0.14,0.10,0.14,0.08,0.08,0.08,0.10,0.06,0.02,0.22"
when do basketball wives come on 2021,50,29,0.00,0.00,10600000,Informational,"Featured snippet, People also ask, Reviews, Video","0.11,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.03"
when does basketball wives la come on,50,29,0.00,0.00,7670000,Informational,"Featured snippet, People also ask, Reviews","1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.09,0.09"
when does basketball wives return 2021,50,29,0.00,0.00,1370000,Informational,"Featured snippet, People also ask, Reviews","0.11,0.05,0.05,0.05,0.03,0.05,0.03,0.03,0.03,0.00,0.00,0.00"
when is basketball wives coming back on,50,32,0.00,0.01,12800000,Informational,"Featured snippet, People also ask, Reviews, Twitter","0.53,0.21,0.21,0.09,0.09,0.12,0.15,0.15,0.09,0.09,0.06,0.06"
