Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
what basketball games are on today,6600,85,2.23,0.01,502000000,Informational,"Instant answer, Reviews, Site links","0.54,1.00,0.36,0.03,0.01,0.24,0.36,0.36,0.36,0.36,0.81,0.66"
what college basketball games are on today,1900,96,0.00,0.00,358000000,Informational,"People also ask, Reviews, Site links","0.00,0.01,0.00,0.00,0.00,0.00,0.07,0.23,0.23,0.15,1.00,0.13"
what channel is uk basketball game on today,1600,56,0.00,0.01,98,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.02,0.10,1.00,0.54,0.54,0.43,0.43,0.00"
who plays basketball today,1600,89,0.83,0.00,98600000,Informational,"Instant answer, People also ask, Reviews, Site links, Video","0.54,0.81,0.20,0.02,0.02,0.29,0.43,0.43,0.36,0.43,0.54,1.00"
who won the basketball game today,1300,87,0.00,0.00,93,Informational,"Instant answer, People also ask, Reviews, Site links","0.44,1.00,0.80,0.04,0.01,0.10,0.10,0.13,0.10,0.10,0.52,0.52"
what channel is the razorback basketball game on today,1000,59,1.68,0.01,81,Informational,"People also ask, Reviews, Site links","0.00,0.03,0.00,0.00,0.02,0.02,0.10,0.12,0.08,0.16,1.00,0.01"
what time does u.k. play basketball today,1000,57,0.00,0.00,99,Informational,"People also ask, Reviews, Site links, Video","1.00,0.11,0.01"
who is playing basketball today,1000,89,1.58,0.01,385000000,Informational,"Instant answer, People also ask, Site links","0.08,0.07,0.20,0.02,0.02,0.07,0.43,0.22,0.36,0.13,1.00,0.29"
who won the game today basketball,1000,89,0.00,0.00,128000000,Informational,"Instant answer, People also ask, Site links","0.44,1.00,0.66,0.03,0.01,0.08,0.08,0.10,0.10,0.08,0.52,0.24"
who won today's basketball game,1000,96,0.00,0.00,57400000,Informational,"Instant answer, People also ask, Site links","0.43,1.00,0.65,0.00,0.01,0.05,0.07,0.08,0.08,0.07,0.29,0.22"
who's playing basketball today,1000,89,3.21,0.00,36500000,Informational,"Instant answer, People also ask, Site links","0.54,1.00,0.24,0.02,0.02,0.24,0.30,0.54,0.54,0.36,0.79,0.41"
are there any basketball games on today,880,88,1.48,0.01,394000000,Informational,"Instant answer, Reviews, Site links","0.37,0.84,0.25,0.05,0.05,0.13,0.25,0.52,0.52,0.68,1.00,0.84"
what channel is unc basketball game on today,880,73,1.67,0.01,98,Informational,"Featured snippet, People also ask, Site links, Video","0.00,0.00,0.01,0.00,0.00,0.00,0.54,0.66,0.79,0.79,1.00,0.41"
is there a basketball game today,720,89,3.15,0.00,559000000,Informational,"Instant answer, People also ask, Reviews, Site links","0.30,1.00,0.66,0.03,0.02,0.16,0.20,0.20,0.20,0.20,0.30,0.36"
what channel is badger basketball on today,720,72,1.18,0.01,84,Informational,"People also ask, Reviews, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.10,1.00,0.00"
who playing basketball today,720,84,0.83,0.00,291000000,Commercial,"People also ask, Site links","0.20,0.31,0.46,0.05,0.04,0.08,1.00,0.25,0.84,0.31,0.84,0.52"
how to catch todays gonzaga basketball game,590,53,0.00,0.00,84,Informational,"Image pack, People also ask, Video","1.00,0.00"
what basketball games are today,590,83,1.45,0.01,401000000,Informational,"Instant answer, People also ask, Site links","0.54,1.00,0.13,0.00,0.00,0.08,0.08,0.13,0.10,0.13,0.66,0.36"
what channel is purdue basketball on today,590,53,1.48,0.01,16700000,Informational,"People also ask, Twitter, Video","0.00,0.00,0.00,0.01,0.01,0.36,0.20,0.41,0.54,1.00,0.00"
what ncaa basketball games are on today,590,84,1.03,0.01,144000000,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.04,1.00,0.08"
what time does kentucky basketball play today,590,62,0.00,0.01,99,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,0.01,0.00,0.05,0.16,0.81,1.00,1.00,1.00,0.01"
what time does kentucky play basketball today,590,62,0.00,0.01,94,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.24,0.29,0.29,0.29,0.00"
what time does ky basketball play today,590,62,0.00,0.01,12700000,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.24,0.29,0.29,0.29,0.00"
what time does ky play basketball today,590,66,0.00,0.01,12900000,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,0.01,0.00,0.04,0.31,0.52,0.68,0.84,1.00,0.01"
